@relation 'project-crime-binary-weka.filters.supervised.instance.Resample-B0.0-S1-Z14.16-no-replacement-V-weka.filters.unsupervised.attribute.Remove-R1-4,7-11,13-29,32-40,42,45,47-103-weka.filters.supervised.instance.Resample-B0.0-S21-Z5.497'

@attribute pctBlack numeric
@attribute pctWhite numeric
@attribute pct65up numeric
@attribute persPoverty numeric
@attribute pctPoverty numeric
@attribute pctMaleDivorc numeric
@attribute pctFemDivorc numeric
@attribute pctAllDivorc numeric
@attribute pct2Par numeric
@attribute Class {0,1}

@data
0.41,98,10.43,554,4.72,7.23,8.85,8.08,84.23,1
1.41,96.01,5.81,504,3.24,6.2,8.33,7.26,87.19,1
41.48,57.56,16.07,2468,25.22,8.38,12.05,10.44,52,1
30.86,68.03,14.62,3008,15.69,9.51,12.91,11.35,70.11,1
0.21,97.61,14.81,1176,9.09,7.17,8.32,7.78,78.87,1
0.26,57.67,11.03,4844,33.49,8.42,12.24,10.47,74.62,1
1.7,96.67,7.27,406,3.81,5.48,8.09,6.85,86.43,1
0.29,97.97,7,1366,2.81,6.38,8.13,7.26,86.89,1
1.84,73.12,12.16,3311,34.98,8.71,13.17,11.07,65.47,1
0.97,97.11,10.81,867,2.5,5.97,7.88,6.95,86.45,1
1.06,95.97,14.06,645,4.39,7.95,7.61,7.75,80.61,1
7.95,82.42,4.44,973,5.34,8.43,12.03,9.94,82.9,1
0.95,97,10.2,624,3.65,6.37,9.87,8.25,85.15,1
4.22,77.43,12.79,3853,22.33,10.04,15.21,12.82,55.94,1
0.64,93.48,8.07,1209,3.78,10.65,13.33,11.96,83.43,1
0.42,99.19,20.6,1150,10.64,10.75,12.72,11.83,68.37,1
8.05,91.51,22.85,390,3.72,5.68,7.85,6.85,81.95,1
4.3,89.06,16.34,2549,5.72,6.73,9.51,8.24,80.71,1
3.43,89.45,13.47,5461,14,9.25,12.04,10.75,65.98,1
5.27,74.08,9.82,4755,15.65,10.03,15.68,12.99,68.11,1
1.72,96.8,13.2,405,3.86,7.78,9.14,8.48,84.17,1
2.52,96.09,10.93,275,2.22,7.66,8.32,7.99,87.15,1
26.96,72.26,12.78,4173,38.27,8.97,12.76,11.08,67.27,1
1.08,92.19,4.32,1417,5.17,8.82,11.65,10.24,83.69,1
29.65,69.21,14.71,59144,22.61,14.08,17.07,15.72,53.89,1
1.9,95.3,8.92,229,1.92,8.55,12.63,10.66,82.36,1
1.96,95.53,13.38,255,2.26,8.24,7.05,7.65,92.06,1
20.29,64.86,15.17,2881,24.64,8.62,12.47,10.68,70.2,1
0.41,99.05,17.48,1302,7.56,7.02,8.17,7.62,82.89,1
0.11,97.17,11.4,2775,9.36,10.2,12.8,11.57,79.65,1
3.52,95.13,22.59,1977,6.72,8.39,11.99,10.31,76.18,1
1.08,97.1,8.35,836,3.06,7.11,10.27,8.75,84.99,1
0.17,97.74,14.95,1460,10.73,13.23,14.92,14.13,71.07,1
0.72,97.22,7.48,333,2.36,5.65,8.62,7.16,89.27,1
0.39,98.9,14.86,565,3.14,7.16,10.33,8.84,80.62,1
1.72,96.8,13.2,405,3.86,7.78,9.14,8.48,84.17,1
17.58,58.6,7.12,5071,10.79,10.58,14.28,12.46,71.49,1
8.44,86.65,12.33,2954,11.53,10.54,13.61,12.19,65.95,1
0.67,96.74,4.11,159,1.25,4.62,5.68,5.15,93.6,1
1.28,97.13,12.47,435,2.39,4.9,7.34,6.19,85.97,1
5.16,93.4,15.54,397,3.39,7.7,10.38,9.18,81.37,1
24.29,66.7,15.22,3203,26.71,11.13,14.19,12.79,64.01,1
0.59,98.3,7.7,337,2.83,4.96,8.87,7,86.67,1
0.38,96.39,24.95,3005,16.72,12.6,13.33,12.98,69.07,1
0.9,98.61,13.38,869,7.47,7.68,8.41,8.07,81.5,1
3.23,89.79,12.63,1723,2.52,5.28,7.94,6.68,87.04,1
1.2,68.17,6.68,4005,12.9,9.16,13.93,11.57,73.32,1
0.77,91,11.83,628,1.71,4.91,7.87,6.45,89.47,1
1.03,97.17,16.06,13017,14.28,8.65,12.05,10.52,68.09,1
